Machine Name, Content
euro pk,"'Euro PK' is a pre-threaded plastic caps capper that serves the beverage, food, chemical, and pharmaceutical industries. It boasts impressive speeds, capable of producing up to 1,500 bottles per minute or 90,000 bottles per hour. The machine is designed to handle sport and flat pre-threaded plastic caps, and its closure heads include magnetic synchronous heads and hysteresis heads. The Euro PK is available in three versions: standard, inox external surfaces, and washable, each with its own set of features. Additionally, the machine offers quick format changes with the aid of a sorter, caps chute, pick & place, and containers handling. Other notable features include overturned caps automatic ejector, caps washing, ionizer/dust extraction, UV lamp, bottle neck cleaning, and steam injection."
next pk,"'Next PK' is a pre-threaded plastic caps lube-free capper that serves the beverage, food, chemical, and pharmaceutical industries. It boasts impressive speeds, capable of producing up to 1,440 bottles per minute or 86,400 bottles per hour. The machine is designed to handle sport and flat pre-threaded plastic caps, and its closure heads are equipped with magnetic synchronous heads and hysteresis heads. The Next PK offers various versions, including washable, ultraclean, and aseptic, each with its own set of features. Additionally, the machine features an overturned caps automatic ejector, N2 injection device, caps washing, ionizer/dust extraction, UV lamp, bottle neck cleaning, and steam injection on the caps chute. Quick format changes can be achieved through a sorter, caps chute, pick & place, and containers handling. The machine also features a multibody design, caps elevator, and caps buffer with twin hopper and flat buffer."
next vp,"The 'Next vp' is a pre-threaded plastic caps lube-free capper that serves the beverage, food, chemical, and pharmaceutical industries. Its speed production capabilities allow for up to 1,200 bottles per minute or 72,000 bottles per hour. The machine can accommodate sport and flat pre-threaded plastic caps and features magnetic synchronous heads and hysteresis heads for closure control. The next vp offers various versions, including a washable design with an open structure, an ultraclean option with a split plenum and hydraulic labyrinth for foamed cleaning, and an aseptic option for intensive cleaning. The ""vp"" version features closure chucks and grippers. The machine also includes various additional features, such as overturned caps automatic ejectors, injection devices, caps washing, ionizers, dust extraction, UV lamps, bottle neck cleaning, and steam injection on the caps chute. Quick format changes can be achieved with a sorter, caps chute, pick and place, and containers handling."
eagle pk,"'Eagle Pk' is a single-head capper specifically designed for pre-threaded plastic caps. It excels in the beverage, food, chemical, and pharmaceutical industries, delivering impressive speeds of up to 41 bottles per minute or 2,500 bottles per hour. The machine handles sport and flat pre-threaded plastic caps with ease, employing magnetic synchronous heads for efficient operation. Additionally, Eagle Pk offers flexible configurations, including a standard structure with painted steel components, inox external surfaces, and a washable version with stainless steel components and completely washable capping zones. Its advanced features include overturned caps automatic ejectors, caps washing, ionizers, UV lamps, and motorized height adjustment for ultimate performance."
euro vp,"'Euro VP' is a capper designed for pre-threaded plastic caps with irregular geometry and large sizes, serving the beverage, food, chemical, and pharmaceutical industries. It boasts impressive speeds, capable of producing up to 1,200 bottles per minute or 72,000 bottles per hour. The machine is designed to handle various types of caps, including pre-threaded irregular geometry and large plastic caps, as well as aluminum pre-threaded caps. Its main features include magnetic synchronous heads and hysteresis heads for efficient capping. The Euro VP is available in three versions: standard, inox external surfaces, and washable, each with its own set of features. Additionally, the machine offers various options for on-caps chute, quick format change, and other features, such as motorized height adjustment, centralized lubrication, and multibody equipment."
eagle vp,"'Eagle VP' is a single-head capper designed for pre-threaded plastic, irregular geometry, and large caps on glass or plastic bottles. It serves the beverage, food, spirits, chemical, and pharmaceutical industries. The machine boasts impressive speeds, capable of producing up to 33 bottles per minute or 2,000 bottles per hour for caps with a diameter of 38 or less. Its main features include magnetic synchronous heads and a range of closure options. The Eagle VP is available in three versions: standard, inox external surfaces, and washable, each with its own set of features and benefits. Additionally, the machine offers quick format changes with the aid of caps sorters, chutes, pick & place, body-guide assemblies, and grippers, and can be equipped with features such as overturned caps automatic ejectors, ionizers/dust extraction, UV lamps, height adjustment, caps elevators, and supplementary hoppers."
geyser,"'Geyser' is a capper designed for twist-off and pre-threaded plastic caps, serving the beverage and food industries. It boasts impressive speeds, capable of producing up to 900 bottles per minute or 54,000 bottles per hour. The machine is designed to handle various types of caps, including twist-off and pre-threaded plastic caps. Its main features include magnetic synchronous and magnetic hysteresis heads. Additionally, Geyser offers quick format changes with the aid of caps sorters, chutes, pick&place, and containers handling, and can be equipped with motorized height adjustment, centralized lubrication, and a pick&place and caps chute steam injection device for enhanced efficiency."
euro dd,"'Euro DD' is a capper designed for dispenser pumps application in the personal care and home care industries. It boasts impressive speeds, capable of producing up to 240 bottles per minute or 14,400 bottles per hour. The machine is tailored to handle dispenser and pre-threaded caps. Its primary features include a turret that pre-inserts tubes into containers. Additionally, Euro DD offers flexibility with its washable version, featuring stainless steel components that allow for complete washing of the capping zone, as well as its inox external surfaces version, suitable for washing of the capping zone, and its standard version, with painted steel components that are not washable. Quick format changes can be achieved with the aid of caps sorters, caps chutes, pick&place, and containers handling, and the machine also features motorized height adjustment and a caps elevator."
equatorque,"'Equatorque' is a capper with brushless motors on vertical and rotary spindle control, serving the beverage, food, chemical, and pharmaceutical industries. It can produce up to 1,320 bottles per minute or 79,200 bottles per hour. The machine is designed to handle various types of caps, including sport and flat pre-threaded plastic caps, irregular and large caps. Its main features include the equatorque series with closure chucks and equatorque series with closure grippers. The capper is available in standard and washable versions, with the latter featuring stainless steel components for easy cleaning. Additional features include overturned caps automatic ejector, N2 injection device, ionizer/dust extraction, UV lamp, and caps washing on the caps chute. Quick format changes can be made with the aid of caps sorter, caps chute, and containers handling. Other notable features include motorized height adjustment, multibody equipment, caps elevator, bottle neck cleaning, and caps revolver."
euro pp-c,"'Euro PP-C' is a plunger for press-on caps, serving the wine and spirits, food, chemical, pharmaceutical, personal care, and home care industries. It boasts impressive speeds, capable of producing up to 1,200 bottles per minute or 72,000 bottles per hour. The machine is designed to handle various types of caps, including plastic pressure caps, mushroom plastic caps, and T-caps with plastic heads and cork bodies on glass or plastic bottles. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Euro PP-C offers quick format changes with the aid of caps guides and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
euro pp-g,"'Euro PP-G' is a plunger for press-on caps, serving the wine and spirits, food, chemical, pharmaceutical, personal care, and home care industries. It boasts impressive speeds, capable of producing up to 1,200 bottles per minute or 72,000 bottles per hour. The machine is designed to handle various types of caps, including plastic pressure caps, mushroom plastic caps, and T-caps with plastic heads and cork bodies on glass or plastic bottles. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Euro PP-G offers quick format changes with the aid of caps guides and can be integrated into a combined structure with a centrifugal or mechanical sorter and/or buffer for enhanced efficiency."
kamma pkv,"'Kamma PKV' is a plunger for press-on caps, specifically designed for the wine and spirits, food, chemical, pharmaceutical, personal care, and home care industries. It can produce up to 1,200 bottles per minute, or 70,000 bottles per hour. The machine can handle various types of caps, including plastic pressure caps, mushroom plastic caps, and 't' caps with plastic heads and cork bodies on glass and plastic bottles. Its main features include a closure chuck with vacuum, which ensures efficient and secure capping. The Kamma PKV offers two versions: standard with painted steel components, inox external surfaces, and washable stainless steel components. The machine is equipped with additional features such as overrun caps automatic ejector, ionizer/dust extraction, and UV lamp, allowing for quick format changes with the aid of caps sorter, caps chute, pick & place, bottle-neck guide assembly, and body-guide assembly, as well as motorized height adjustment and centralized lubrication."
eagle pp,"'Eagle PP' is a single-head plugger designed for press-on caps, serving the wine and spirits, food, chemical, pharmaceutical, personal care, and home care industries. It boasts impressive speeds, capable of producing up to 50 bottles per minute or 3,000 bottles per hour. The machine is designed to handle various types of plastic pressure caps, mushroom plastic caps, and 't' caps with plastic heads and cork bodies on glass or plastic bottles. Its main features include a closure chuck with vacuum and a closure chuck or gripper. Eagle PP offers various versions, including a standard structure with painted steel components, an inox external surface with stainless steel components suitable for washing, and a washable version with complete washing of the plugger possible. Additionally, the machine features an overturned caps automatic ejector, ionizer/dust extraction, and UV lamp on the caps chute, as well as quick format changes with caps sorter, caps chute, pick & place, body-guide assembly, and chucks."
euro va-cb,"'Euro Va-CB' is a capper designed to apply aluminum caps on can bottles, serving the beverage and beer industries. It boasts impressive speeds, capable of producing up to 750 caps per minute or 45,000 caps per hour. The machine is designed to handle ropp aluminum caps on aluminum bottles, with SSD/CB threading heads for secure closure. Its main features include a stainless steel construction, with external surfaces made of inox for easy washing, as well as washable components. Additionally, Euro Va-CB offers quick format changes with the aid of caps sorter, caps chute, threading heads, bottle-neck guide assembly, and body-guide assembly, and can be equipped with features such as overturned caps automatic ejector, N2 injection device, ionizer/dust extraction, and UV lamp for enhanced efficiency."
euro va,"'Euro VA' is a capper specifically designed for ROPP aluminum caps on glass and plastic bottles in the wine and spirits, beverage, food, and pharmaceutical industries. It boasts impressive speeds, capable of producing up to 1,200 bottles per minute or 72,000 bottles per hour. The machine is designed to handle ROPP aluminum caps and features SSD threading heads. Its main features include a mechanical caps elevator, a star-wheel for evenly spacing caps, and a conveyor belt. Additionally, Euro VA offers quick format changes with the aid of caps sorter, caps chute, threading heads, bottle-neck guide assembly, and body-guide assembly."
euro vpa,"'Euro VPA' is a capper designed specifically for ROPP aluminum caps with plastic inserts on glass bottles in the spirits industry. It boasts impressive speeds, capable of producing up to 1,200 bottles per minute or 72,000 bottles per hour. The machine is designed to handle aluminum caps with pre-threaded inserts and comes equipped with VPA900 threading/edging heads. Additional features include washable stainless steel components, allowing for complete washing of the capping zone, and external surfaces made of stainless steel. The machine also features overturned caps automatic ejector, N2 injection device, ionizer/dust extraction, and UV lamp on the caps chute. Quick format changes can be made with caps sorter, caps chute, threading heads, bottle-neck guide assembly, and body-guide assembly, while other notable features include motorized height adjustment, centralized lubrication, multibody equipment, and caps elevator."
